ID,degree_centrality,betweenness_centrality,eigenvector_centrality,closeness_centrality,load_centrality,pagerank,information_centrality,_wkshell
YER105C,0.004330106979113601,0.0013606114290329822,6.477305054840725e-05,0.25330627133979705,0.0014706158712344897,0.00038218880862960294,0.0005363674398829235,148
YGL092W,0.004075394803871625,0.0002124558528468486,9.608019244085409e-05,0.23957426033363602,0.0002017499745424161,0.00034572969479453107,0.0005295406059281933,134
YFR002W,0.003056546102903719,0.0001376563807369531,9.375223995535073e-06,0.22865332994607068,0.0001501581149989773,0.0002778577531339126,0.0005073857980755924,131
YKL057C,0.002292409577177789,0.00010504435411452663,3.0084398666310994e-05,0.2344689720713082,0.000115127981286011,0.00020822578516980266,0.00048209278572448547,90
YLR018C,0.0020376974019358125,7.024537395116877e-06,4.80479841780821e-06,0.21658907181695283,9.278375847530671e-06,0.00019109926712807231,0.00046009529925381226,82
YKR082W,0.0038206826286296485,0.0011873345197048024,0.00015609112184608828,0.25859621552726403,0.001224082980378241,0.00032864444796556905,0.0005293733146795196,137
YML103C,0.0015282730514518594,3.7618236262974454e-06,6.001026206343717e-06,0.21758133212045197,4.31558837868985e-06,0.00015161800618408076,0.0004282127960247551,64
YML031W,0.003565970453387672,0.0011028610380354605,2.924927569013059e-05,0.248129918066601,0.0011692816459027467,0.0002994376859357706,0.0005303940632963072,148
YMR153W,0.0020376974019358125,3.7371017894526063e-06,7.71016727579333e-06,0.22151213195684696,4.277887577501472e-06,0.00018739987751120388,0.0004626751667145662,85
YMR129W,0.005094243504839531,0.0014725252439685092,0.00010891180483890628,0.2494662560561884,0.001456101871097453,0.00040443184269652304,0.0005571454351419939,228
YHR024C,0.0010188487009679063,0.00014607056863393233,7.888895979611561e-05,0.24765494990660555,0.00015097317732713506,0.00010936333669410394,0.00038682664971416875,90
YLR163C,0.0012735608762098828,0.0001511829230225498,4.6586223455901966e-05,0.24438041367062294,0.00014286253066291883,0.00012574036615109035,0.0004207177210775612,100
YJL041W,0.003565970453387672,0.0004268467629402217,1.0682863803940987e-05,0.23118938265358763,0.0004692983212079534,0.0003531639752755154,0.0005183426243211215,131
YBL079W,0.0033112582781456954,7.456283274983369e-05,9.527245149110319e-06,0.23110394155128264,7.57246209012101e-05,0.00028731784714551816,0.0005145167459945595,131
YDL116W,0.003565970453387672,0.00013324234740116282,9.593481135777003e-05,0.23954366922588735,0.00012465841044176192,0.0003038064311032167,0.0005219645728784102,131
YJL008C,0.008660213958227202,0.006412614367178286,9.112125100133283e-05,0.27626629048561036,0.006484101128949225,0.0007094178443527377,0.0005957487267934607,386
YAL026C,0.008405501782985226,0.0075791086568411355,0.0014533306538160482,0.2633702436533114,0.00757408938522969,0.0008164122972703229,0.0005902149145567119,378
YJR042W,0.0025471217524197657,0.0009905943628655892,0.00017340288064485063,0.2511024287970201,0.0010965450947528258,0.0002218102265163359,0.0005042554625516681,123
YLR208W,0.003056546102903719,0.0009114030688542332,6.623428650417462e-05,0.25004815002233083,0.0009699722598408437,0.0003058050747236974,0.0005178681520222254,102
YPL169C,0.003565970453387672,0.0012995957248510715,0.006264754696476468,0.26755847472616945,0.0012485579509371526,0.0002167201138285153,0.0005464062253059041,314
YGL172W,0.0012735608762098828,0.0005691007056300631,2.4461652117977787e-05,0.21979920861658314,0.0005741246129333226,0.00016692894688521813,0.0003817546052850469,49
YJL061W,0.0012735608762098828,0.001004776265960748,8.282785910023232e-05,0.2622289971404161,0.0010045098271985607,0.00016865266767275002,0.0004053760649923427,94
YBL080C,0.0010188487009679063,0.0007151563720218993,6.248491363698937e-06,0.23417628829640955,0.0007468405610502413,0.00021730388274565347,0.00029971452596379945,35
YDR061W,0.00025471217524197657,0.0,8.522013100842954e-08,0.18893058517977107,0.0,8.4513495727588e-05,0.0001394018045022665,3
YMR293C,0.0010188487009679063,0.0002994950929466506,2.010831800668201e-05,0.23809953617750182,0.00032336202331767597,0.0001815862734244202,0.00034912391423585137,37
YBL084C,0.0038206826286296485,0.0015802711937756046,1.9397030063167566e-05,0.24038778133553781,0.0016946279621287822,0.00040317354140779517,0.0004953059887286745,141
YDR260C,0.003056546102903719,2.1521658755095036e-07,2.622156288835017e-06,0.21484038542630976,2.191429301565547e-07,0.00029404640241393546,0.00046978297402362464,141
YDR118W,0.0038206826286296485,0.0012702086604986433,4.9201175509666606e-05,0.24360294059765444,0.0013662094880473536,0.0003827570849592784,0.0004952933041762013,141
YGL240W,0.0028018339276617422,0.0,2.586913017542535e-06,0.21454554500715198,0.0,0.00027175779103722484,0.0004629906649413549,136
YFR036W,0.004584819154355578,0.0013763495699937206,3.092183316867992e-05,0.24106736642797957,0.0014648450583950162,0.0004471365084342307,0.0005246539411670465,164
YIR025W,0.003056546102903719,2.1521658755095036e-07,2.622156288835017e-06,0.21484038542630976,2.191429301565547e-07,0.00029404640241393546,0.00046978297402362545,141
YHR166C,0.004075394803871625,0.002100428635766354,2.548966228047279e-05,0.25075001611208136,0.002029721668423432,0.00040854630742078216,0.0005062185117507363,156
YLR102C,0.003056546102903719,2.1521658755095036e-07,2.622156288835017e-06,0.21484038542630976,2.191429301565547e-07,0.00029404640241393546,0.00046978297402362865,141
YKL022C,0.003056546102903719,2.1521658755095036e-07,2.622156288835017e-06,0.21484038542630976,2.191429301565547e-07,0.00029404640241393546,0.00046978297402362545,141
YNL172W,0.003056546102903719,2.1521658755095036e-07,2.622156288835017e-06,0.21484038542630976,2.191429301565547e-07,0.00029404640241393546,0.00046978297402362626,141
YLR127C,0.0038206826286296485,0.0014300739242818817,4.8889637136889504e-05,0.24988161778788373,0.001442679715605989,0.0003687262911747748,0.000506041606727622,141
YDL008W,0.0033112582781456954,0.0002956822094370519,2.6185997845318146e-06,0.2173922296242583,0.00031608296727640863,0.0003377089180558369,0.00048197161134954346,141
YOR249C,0.003056546102903719,2.1521658755095036e-07,2.622156288835017e-06,0.21484038542630976,2.191429301565547e-07,0.00029404640241393546,0.00046978297402362464,141
