node,_wkshell,degree_centrality,betweenness_centrality,eigenvector_centrality,closeness_centrality,load_centrality,pagerank,information_centrality
AT1G54040,0,0.0003151591553734636,0.0,2.3367321634293346e-07,0.17468139871988303,0.0,0.00010696809975157856,0.00015741011046650435
AT4G23810,0,0.0012606366214938543,0.0006032318867329734,1.3022615523376394e-05,0.2137414739334548,0.0006032917702411973,0.00028122042330270197,0.00030103869639935333
AT1G61150,0,0.001575795776867318,1.1570542204041982e-05,0.00019515431018499567,0.22775455382186777,3.217886303053699e-05,0.0002007842285926275,0.0003592005460404086
AT1G79730,0,0.0018909549322407813,4.1443731797343226e-05,0.0004979305444681988,0.22524027669812485,5.147073064800023e-05,0.00019873206586688884,0.0003825952242715755
AT3G23325,0,0.0037819098644815627,5.6011319871111304e-05,0.0011787373157779485,0.2402176999558892,6.24425345751838e-05,0.0003486625155307904,0.0004304514245664426
AT4G14342,0,0.0037819098644815627,5.6011319871111304e-05,0.0011787373157779485,0.2402176999558892,6.24425345751838e-05,0.0003486625155307904,0.00043045142456643994
AT5G05680,0,0.0012606366214938543,0.00012250627656382063,0.0003703167235909777,0.23887094394987057,0.0001504941480519217,0.00019525749986184035,0.000344356913057148
AT5G50230,0,0.0003151591553734636,0.0,3.96155739648588e-05,0.20678507452487188,0.0,7.252419099644187e-05,0.00019166157817275707
AT5G61150,0,0.0009454774661203907,1.9535538257906306e-06,6.079631058925713e-05,0.20996200298340312,4.447624222053195e-06,0.00013148939694874773,0.00031045437158185556
AT1G54170,0,0.0003151591553734636,0.0,9.952183462525644e-05,0.24530231810752517,0.0,0.00010529693137974606,0.0001961138772930496
AT1G54320,0,0.0009454774661203907,0.0,0.0040062995544056556,0.26683235210609507,0.0,0.00014385500501426033,0.0003263507227187999
AT1G54370,0,0.0003151591553734636,0.0,0.0022029217240375175,0.29309718555063025,0.0,9.297384482036104e-05,0.00019683819962995947
AT1G54410,0,0.0006303183107469272,0.0,0.0022609936970605106,0.29392976353535355,0.0,0.00013596075472220516,0.00027798779932752625
