name,_wkshell
AT1G65480,43.0
AT1G65620,89.0
AT1G65650,10.0
AT1G65740,23.0
AT1G65820,nan
AT1G65930,6.0
AT1G65980,45.0
AT1G66070,16.0
AT1G66150,71.0
AT1G66200,14.0
AT1G66260,17.0
AT1G66340,55.0
AT1G66350,204.0
AT1G66390,68.0
AT1G66410,20.0
AT1G66670,19.0
AT1G66750,219.0
AT1G67090,64.0
AT1G67230,6.0
AT1G67320,nan
AT1G67430,4.0
AT1G67580,104.0
AT1G67700,7.0
AT1G67720,113.0
AT1G67730,nan
AT1G67930,17.0
AT1G68050,122.0
AT1G68060,2.0
AT1G68090,3.0
AT1G68360,133.0
AT1G68520,18.0
AT1G68590,4.0
AT1G68680,43.0
AT1G68810,48.0
AT1G68840,12.0
AT1G68850,45.0
AT1G69120,191.0
AT1G69200,5.0
AT1G69490,40.0
AT1G69530,12.0
AT1G69620,62.0
AT1G69690,279.0
AT1G69740,42.0
AT1G69770,13.0
AT1G69830,62.0
AT1G69840,30.0
AT1G69960,nan
AT1G70300,34.0
AT1G70310,5.0
AT1G70320,nan
AT1G70410,7.0
AT1G70440,45.0
AT1G70490,8.0
AT1G70520,58.0
AT1G70600,80.0
AT1G70700,212.0
AT1G70730,nan
AT1G70750,3.0
AT1G70810,nan
AT1G70940,28.0
AT1G71020,52.0
AT1G71030,73.0
AT1G71230,215.0
AT1G71270,3.0
AT1G71770,6.0
AT1G71820,5.0
AT1G71830,128.0
AT1G71840,1.0
AT1G71880,49.0
AT1G72010,99.0
AT1G72150,nan
AT1G72160,80.0
AT1G72290,3.0
AT1G72340,29.0
AT1G72370,nan
AT1G72390,43.0
AT1G72430,12.0
AT1G72450,182.0
AT1G72530,43.0
AT1G72630,nan
AT1G72710,nan
AT1G72730,3.0
AT1G72750,3.0
AT1G72770,147.0
AT1G72900,20.0
AT1G72930,43.0
AT1G73000,64.0
AT1G73030,7.0
AT1G73080,92.0
AT1G73100,40.0
AT1G73180,nan
AT1G73230,2.0
AT1G73590,50.0
AT1G73660,6.0
AT1G73690,173.0
AT1G73720,62.0
AT1G73960,3.0
AT1G74050,43.0
AT1G74060,nan
AT1G74350,45.0
AT1G74380,11.0
AT1G74470,10.0
AT1G74490,19.0
AT1G74500,31.0
AT1G74560,3.0
AT1G74740,99.0
AT1G74880,nan
AT1G74890,47.0
AT1G74910,2.0
AT1G74940,12.0
AT1G74950,192.0
AT1G74970,42.0
AT1G75060,17.0
AT1G75080,258.0
AT1G75100,41.0
AT1G75240,15.0
AT1G75330,nan
AT1G75340,nan
AT1G75490,37.0
AT1G75540,59.0
AT1G75750,12.0
AT1G75780,3.0
AT1G75820,49.0
AT1G75840,9.0
AT1G75850,3.0
AT1G75950,248.0
AT1G75990,7.0
AT1G76030,23.0
AT1G76080,80.0
AT1G76180,42.0
AT1G76260,16.0
AT1G76420,46.0
AT1G76540,228.0
AT1G76850,6.0
AT1G77000,46.0
AT1G77080,76.0
AT1G77140,4.0
AT1G77180,5.0
AT1G77210,17.0
AT1G77300,21.0
AT1G77440,nan
AT1G77470,4.0
AT1G77760,77.0
AT1G78000,7.0
AT1G78290,18.0
AT1G78300,45.0
AT1G78310,41.0
AT1G78340,1.0
AT1G78370,80.0
AT1G78380,80.0
AT1G78510,3.0
AT1G78570,80.0
AT1G78630,43.0
AT1G78860,45.0
AT1G78920,46.0
AT1G78970,nan
AT1G79000,70.0
AT1G79010,9.0
AT1G79020,63.0
AT1G79040,62.0
AT1G79280,62.0
AT1G79380,15.0
AT1G79530,8.0
AT1G79550,nan
AT1G79570,7.0
AT1G79610,3.0
AT1G79650,14.0
AT1G79690,nan
AT1G79730,3.0
AT1G79750,1.0
AT1G79830,2.0
AT1G79850,42.0
AT1G79930,4.0
AT1G79940,58.0
AT1G80030,62.0
AT1G80210,9.0
AT1G80270,nan
AT1G80350,8.0
AT1G80410,2.0
AT1G80440,34.0
AT1G80490,182.0
AT1G80560,1.0
AT1G80670,16.0
AT1G80720,38.0
AT1G80840,101.0
AT2G01050,2.0
AT2G01140,80.0
AT2G01180,nan
AT2G01210,71.0
AT2G01250,9.0
AT2G01290,27.0
AT2G01350,62.0
AT2G01420,62.0
AT2G01430,51.0
AT2G01530,1.0
AT2G01570,260.0
AT2G01710,76.0
AT2G01730,3.0
AT2G01770,13.0
AT2G01830,80.0
AT2G01950,244.0
AT2G02090,24.0
AT2G02170,nan
AT2G02470,15.0
AT2G02480,nan
AT2G02560,101.0
AT2G02950,46.0
AT2G03070,2.0
AT2G03120,23.0
AT2G03150,4.0
AT2G03220,11.0
AT2G03340,38.0
AT2G03440,11.0
AT2G03640,2.0
AT2G03680,27.0
AT2G03760,nan
AT2G03780,nan
AT2G03870,33.0
AT2G03890,nan
AT2G04030,8.0
AT2G04390,14.0
AT2G04520,30.0
AT2G04550,52.0
AT2G04630,92.0
AT2G04660,20.0
AT2G04790,80.0
AT2G05070,8.0
AT2G05100,22.0
AT2G05170,33.0
AT2G05210,229.0
AT2G05220,nan
AT2G05310,43.0
AT2G05520,2.0
AT2G05620,18.0
AT2G05710,3.0
AT2G05840,3.0
AT2G05900,nan
AT2G05940,4.0
AT2G06160,43.0
AT2G06510,2.0
AT2G06530,19.0
AT2G06850,21.0
AT2G07340,nan
AT2G07690,23.0
AT2G07698,42.0
AT2G09990,43.0
AT2G10940,80.0
AT2G13360,20.0
AT2G13370,9.0
AT2G13540,6.0
AT2G13560,nan
AT2G14120,1.0
AT2G14510,78.0
AT2G14830,45.0
AT2G14835,nan
AT2G15400,8.0
AT2G15430,65.0
AT2G15620,11.0
AT2G16280,20.0
AT2G16365,27.0
AT2G16370,4.0
AT2G16440,17.0
AT2G16600,20.0
AT2G16640,257.0
AT2G16760,10.0
AT2G16850,69.0
AT2G16870,80.0
AT2G16900,21.0
AT2G16930,nan
AT2G16940,3.0
AT2G17150,62.0
AT2G17190,1.0
AT2G17200,5.0
AT2G17290,13.0
AT2G17350,26.0
AT2G17390,3.0
AT2G17410,62.0
AT2G17520,nan
AT2G17560,15.0
AT2G17670,31.0
AT2G17800,8.0
AT2G17950,159.0
AT2G18000,34.0
AT2G18020,45.0
AT2G18110,1.0
AT2G18170,241.0
AT2G18290,36.0
AT2G18380,101.0
AT2G18450,45.0
AT2G18510,80.0
AT2G18710,43.0
AT2G18740,12.0
AT2G18750,24.0
AT2G18790,242.0
AT2G18915,163.0
AT2G18960,62.0
AT2G19190,62.0
AT2G19430,65.0
AT2G19480,35.0
AT2G19520,101.0
AT2G19540,16.0
AT2G19730,80.0
AT2G19900,1.0
AT2G19940,20.0
AT2G20000,nan
AT2G20060,nan
AT2G20140,12.0
AT2G20180,179.0
AT2G20190,nan
AT2G20260,45.0
AT2G20370,11.0
AT2G20450,2.0
AT2G20530,43.0
AT2G20580,43.0
AT2G20630,nan
AT2G20760,61.0
AT2G20780,nan
AT2G20890,18.0
AT2G20990,62.0
AT2G21050,5.0
AT2G21060,11.0
AT2G21160,nan
AT2G21270,3.0
AT2G21330,80.0
AT2G21380,13.0
AT2G21390,43.0
AT2G21470,62.0
AT2G21580,16.0
AT2G21620,34.0
AT2G21630,33.0
AT2G21660,31.0
AT2G21870,62.0
AT2G22125,23.0
AT2G22230,nan
AT2G22240,2.0
AT2G22360,62.0
AT2G22370,6.0
AT2G22430,86.0
AT2G22475,17.0
AT2G22490,165.0
AT2G22540,76.0
AT2G22800,26.0
AT2G23070,21.0
AT2G23080,92.0
AT2G23090,16.0
AT2G23350,9.0
AT2G23380,41.0
AT2G23430,211.0
AT2G23690,45.0
AT2G23770,3.0
AT2G23980,50.0
AT2G24090,7.0
AT2G24170,23.0
AT2G24200,nan
AT2G24270,80.0
AT2G24420,24.0
AT2G24490,3.0
AT2G24590,52.0
AT2G24610,nan
AT2G24720,7.0
AT2G24790,116.0
AT2G25000,181.0
AT2G25140,61.0
AT2G25170,10.0
AT2G25180,33.0
AT2G25620,197.0
AT2G25625,2.0
AT2G25730,12.0
AT2G25930,84.0
AT2G25980,3.0
AT2G26000,1.0
AT2G26070,9.0
AT2G26080,5.0
AT2G26190,19.0
AT2G26230,nan
AT2G26280,80.0
AT2G26300,224.0
AT2G26330,133.0
AT2G26350,4.0
AT2G26400,10.0
AT2G26570,nan
AT2G26590,2.0
AT2G26650,62.0
AT2G26760,13.0
AT2G26920,45.0
AT2G26980,52.0
AT2G26990,34.0
AT2G27020,24.0
AT2G27030,nan
AT2G27040,3.0
AT2G27050,63.0
AT2G27060,100.0
AT2G27100,80.0
AT2G27110,145.0
AT2G27210,3.0
AT2G27450,80.0
AT2G27470,64.0
AT2G27840,nan
AT2G27860,80.0
AT2G27960,219.0
AT2G27970,222.0
AT2G28000,43.0
AT2G28070,17.0
AT2G28080,12.0
AT2G28190,19.0
AT2G28290,109.0
AT2G28380,92.0
AT2G28450,24.0
AT2G28550,185.0
AT2G28740,19.0
AT2G28800,28.0
AT2G28830,25.0
AT2G28900,30.0
AT2G29080,17.0
AT2G29100,23.0
AT2G29190,80.0
AT2G29400,5.0
AT2G29530,20.0
AT2G29540,12.0
AT2G29550,2.0
AT2G29570,14.0
AT2G29580,197.0
AT2G29680,28.0
AT2G29910,nan
AT2G29960,2.0
AT2G29980,nan
AT2G30020,80.0
AT2G30050,80.0
AT2G30060,12.0
AT2G30110,2.0
AT2G30120,62.0
AT2G30250,9.0
AT2G30260,62.0
AT2G30330,8.0
AT2G30360,163.0
AT2G30390,nan
AT2G30410,2.0
AT2G30470,63.0
AT2G30490,12.0
AT2G30520,15.0
AT2G30740,3.0
AT2G30790,nan
AT2G30950,31.0
AT2G30980,130.0
AT2G30990,62.0
AT2G31270,31.0
AT2G31305,40.0
AT2G31320,7.0
AT2G31390,74.0
AT2G31440,nan
AT2G31500,10.0
AT2G31530,1.0
AT2G31610,nan
AT2G31660,nan
AT2G31870,1.0
AT2G31880,117.0
AT2G32080,23.0
AT2G32180,24.0
AT2G32240,33.0
AT2G32400,nan
AT2G32450,nan
AT2G32560,6.0
AT2G32600,nan
AT2G32700,102.0
AT2G32710,219.0
AT2G32950,247.0
AT2G33120,40.0
AT2G33150,4.0
AT2G33210,7.0
AT2G33220,nan
AT2G33250,62.0
AT2G33380,38.0
AT2G33410,15.0
AT2G33430,73.0
AT2G33450,nan
AT2G33460,22.0
AT2G33500,114.0
AT2G33510,2.0
AT2G33550,85.0
AT2G33560,14.0
AT2G33580,52.0
AT2G33600,nan
AT2G33610,221.0
AT2G33730,9.0
AT2G34140,62.0
AT2G34150,58.0
AT2G34160,16.0
AT2G34250,54.0
AT2G34420,73.0
AT2G34430,80.0
AT2G34480,17.0
AT2G34590,44.0
AT2G34640,93.0
AT2G34650,7.0
AT2G34680,2.0
AT2G34690,3.0
AT2G34720,144.0
AT2G34970,3.0
AT2G35100,1.0
AT2G35110,39.0
AT2G35190,nan
AT2G35240,43.0
AT2G35390,nan
AT2G35620,88.0
AT2G35635,1.0
AT2G35840,2.0
AT2G35940,125.0
AT2G36010,131.0
AT2G36170,nan
AT2G36250,9.0
AT2G36270,247.0
AT2G36400,121.0
AT2G36490,2.0
AT2G36530,62.0
AT2G36580,5.0
AT2G36620,nan
AT2G36680,16.0
AT2G36740,57.0
AT2G36880,11.0
AT2G36890,20.0
AT2G36910,39.0
AT2G36990,27.0
AT2G37000,174.0
AT2G37020,nan
AT2G37040,7.0
AT2G37050,20.0
AT2G37170,39.0
AT2G37180,47.0
AT2G37190,17.0
AT2G37250,13.0
AT2G37340,51.0
AT2G37360,44.0
AT2G37550,1.0
AT2G37620,17.0
AT2G37630,157.0
AT2G37660,nan
AT2G37678,40.0
AT2G37680,14.0
AT2G38170,13.0
AT2G38230,6.0
AT2G38280,8.0
AT2G38300,107.0
AT2G38310,94.0
AT2G38400,11.0
AT2G38410,9.0
AT2G38440,47.0
AT2G38470,80.0
AT2G38540,21.0
AT2G38580,62.0
AT2G38620,232.0
AT2G38650,1.0
AT2G38750,7.0
AT2G38760,nan
AT2G38910,nan
AT2G38940,32.0
AT2G39010,39.0
AT2G39050,55.0
AT2G39090,nan
AT2G39130,1.0
AT2G39480,nan
AT2G39660,46.0
AT2G39770,62.0
AT2G39800,5.0
AT2G39810,91.0
AT2G39830,88.0
AT2G39840,63.0
AT2G39940,135.0
AT2G39960,19.0
AT2G40010,3.0
AT2G40030,2.0
AT2G40060,22.0
AT2G40080,9.0
AT2G40290,67.0
AT2G40330,199.0
AT2G40360,nan
AT2G40470,45.0
AT2G40490,nan
AT2G40550,24.0
AT2G40590,14.0
AT2G40650,nan
AT2G40840,62.0
AT2G40930,nan
AT2G40940,24.0
AT2G41070,46.0
AT2G41090,244.0
AT2G41100,62.0
AT2G41110,19.0
AT2G41140,4.0
AT2G41475,45.0
AT2G41540,nan
AT2G41630,84.0
AT2G41680,42.0
AT2G41840,62.0
AT2G41900,29.0
AT2G42160,1.0
AT2G42210,2.0
AT2G42260,52.0
AT2G42280,131.0
AT2G42360,45.0
AT2G42400,40.0
AT2G42500,4.0
AT2G42560,62.0
AT2G42580,154.0
AT2G42590,8.0
AT2G42600,42.0
AT2G42620,63.0
AT2G42790,35.0
AT2G42810,30.0
AT2G42830,37.0
AT2G42870,20.0
AT2G42910,nan
AT2G42940,62.0
AT2G43000,52.0
AT2G43010,178.0
AT2G43030,45.0
AT2G43120,5.0
AT2G43130,80.0
AT2G43160,17.0
AT2G43410,9.0
AT2G43460,nan
AT2G43610,45.0
AT2G43640,1.0
AT2G43680,19.0
AT2G43710,42.0
AT2G43750,4.0
AT2G43790,277.0
