node,_wkshell,degree_centrality,betweenness_centrality,eigenvector_centrality,closeness_centrality,load_centrality,pagerank,information_centrality
AT3G47675,0,0.0004333694474539545,1.4490455100060302e-05,1.1826507125612659e-05,0.23189070854705465,1.790139751438483e-05,6.007161020723708e-05,0.00013875324956790023
AT4G17270,0,0.00010834236186348862,0.0,1.0513103856725287e-05,0.2206593004540219,0.0,2.776925973865767e-05,7.162703241931991e-05
AT4G32260,0,0.00021668472372697725,4.8320392488186325e-05,1.220055731409128e-05,0.2286481199998033,6.213541016286006e-05,4.4830784175583e-05,0.00010657423140980819
AT4G33666,0,0.00010834236186348862,0.0,1.0513103856725287e-05,0.2206593004540219,0.0,2.776925973865767e-05,7.162703241931992e-05
AT4G36515,0,0.00021668472372697725,1.3094690714378898e-05,1.0616710988210671e-05,0.22576366153850644,1.6310245450839583e-05,4.216917999261176e-05,0.00010479449553915501
AT5G02870,0,0.0006500541711809318,4.3624425426894255e-05,1.6278380125861993e-05,0.24411462635237532,4.3845148671706935e-05,7.754046673817783e-05,0.00015786168601980105
AT5G05550,0,0.0009750812567713976,6.366128794984198e-05,5.8231331218289624e-05,0.25854758046908843,6.746933843475826e-05,8.814965077852657e-05,0.00017247532352748063
AT5G17450,0,0.0004333694474539545,6.516123067691692e-05,0.0002011514992702562,0.2396376141778026,7.610513477697828e-05,5.52055491902591e-05,0.00014065263521225685
AT5G41520,0,0.0005417118093174431,5.356709409720767e-05,1.4430287039519212e-05,0.2392494891301335,5.9508899919354924e-05,7.209449309842157e-05,0.00014930003104311496
AT5G50335,0,0.0003250270855904659,4.512919160554112e-05,1.1523631289164132e-05,0.23076708210957986,5.778908071567362e-05,5.676125626796991e-05,0.00012499424371716788
AT5G60160,0,0.00010834236186348862,0.0,1.0513103856725287e-05,0.2206593004540219,0.0,2.776925973865767e-05,7.162703241931988e-05
AT5G62030,0,0.00010834236186348862,0.0,1.0513103856725287e-05,0.2206593004540219,0.0,2.776925973865767e-05,7.162703241931991e-05
AT1G54080,0,0.00010834236186348862,0.0,1.6006120815837164e-07,0.19660230972326873,0.0,3.0633902303282604e-05,6.63303386213748e-05
AT1G54120,0,0.0003250270855904659,8.914250673032908e-05,7.276448464811696e-06,0.22078787024452812,0.0001131781706658294,6.089745842514744e-05,0.00012393056499247087
AT4G23770,0,0.0011917659804983748,0.0001995078853600425,2.485833730647978e-05,0.2594944438168434,0.00020117861955644786,0.00011797502421711899,0.00017043445833634808
AT1G54130,0,0.0003250270855904659,0.00010488058074047972,0.00024076166311781043,0.24983174401698444,0.00012151239770190376,5.4577297512453844e-05,0.00012708446880825057
AT1G54170,0,0.00010834236186348862,0.0,1.437625820304527e-06,0.21801531894217788,0.0,2.5461459945869025e-05,7.148219749775467e-05
AT1G54310,0,0.00010834236186348862,0.0,0.00020378284375104783,0.23595896659173984,0.0,3.3251620215104125e-05,7.207729134958195e-05
AT2G29660,0,0.0004333694474539545,1.5953311532917531e-06,2.771677802633468e-05,0.24553825581159325,1.568228622472926e-06,4.5696636069405674e-05,0.00014170197962247943
AT2G30432,0,0.0015167930660888408,4.423329599133037e-05,5.552168959522082e-05,0.25961038962296334,5.046816150168403e-05,0.0001236351028524077,0.0001837278772302097
AT2G32250,0,0.00021668472372697725,6.551657919448927e-07,6.075858999825634e-06,0.22913504022590447,5.323266136281429e-07,3.1584465443537066e-05,0.00010744188117596296
AT2G37120,0,0.0007583965330444204,2.7482576884150735e-05,2.6075118555649036e-05,0.2507013114150415,2.8880705677907007e-05,7.417642663397748e-05,0.00016394836196489704
AT3G09230,0,0.0004333694474539545,1.3074356672951947e-05,1.5846757242325495e-05,0.24007328292517155,1.3005389707264534e-05,5.0141951126362884e-05,0.0001407701889563473
AT3G10113,0,0.00021668472372697725,0.0,2.2190082639243745e-06,0.21723822602837814,0.0,3.121874469141061e-05,0.00010627178836974
AT3G16870,0,0.0009750812567713976,2.1469500967645857e-05,2.6060628700911347e-05,0.2453170937605906,2.731062421133211e-05,8.883211424158644e-05,0.00017078682007863667
AT3G27940,0,0.000866738894907909,5.1646709214040055e-05,3.3210613013128386e-05,0.24896107607142867,5.102277160790694e-05,7.767267165614331e-05,0.0001676384825675246
AT3G56770,0,0.000866738894907909,2.9126179963771684e-05,5.475784249603753e-05,0.24623196468519576,3.4001358500099014e-05,8.140146172039587e-05,0.0001674949904419861
