name,_wkshell,_wks_percentile_bucket
AT5G66850,128.0,60.0
AT4G16143,279.0,95.0
AT4G18780,217.0,75.0
AT5G27620,131.0,65.0
AT4G18800,217.0,75.0
AT1G03330,12.0,20.0
AT4G19170,2.0,0.0
AT2G03870,13.0,20.0
AT5G17790,63.0,45.0
AT3G59810,13.0,20.0
AT4G19700,8.0,15.0
AT5G27720,31.0,30.0
AT4G20270,50.0,35.0
AT1G03350,128.0,60.0
AT4G35050,22.0,25.0
AT1G03360,100.0,55.0
AT5G53060,2.0,0.0
AT1G54440,89.0,55.0
AT4G22070,217.0,75.0
AT1G60080,102.0,55.0
AT4G22130,29.0,30.0
AT1G73720,94.0,55.0
AT4G22200,217.0,85.0
AT3G07750,215.0,70.0
AT4G22220,1.0,0.0
AT3G61620,106.0,55.0
AT5G06410,1.0,0.0
AT4G32175,106.0,55.0
AT4G22690,217.0,75.0
AT5G35910,59.0,40.0
AT4G23140,6.0,10.0
AT5G38890,100.0,55.0
AT4G23220,217.0,75.0
AT1G03445,50.0,40.0
AT4G23630,6.0,10.0
AT1G78300,329.0,95.0
AT4G23670,217.0,85.0
AT3G26940,6.0,10.0
AT4G23680,217.0,75.0
AT4G00710,190.0,70.0
AT4G23730,84.0,50.0
AT1G03600,29.0,30.0
AT4G23920,13.0,20.0
AT1G03630,217.0,85.0
AT4G24390,217.0,75.0
AT1G03680,217.0,75.0
AT4G24690,217.0,75.0
AT1G03740,128.0,60.0
AT4G24770,217.0,75.0
AT1G03760,40.0,35.0
AT4G24780,217.0,75.0
AT1G03860,12.0,20.0
AT4G24972,3.0,5.0
AT1G47260,110.0,55.0
AT4G24990,2.0,0.0
AT5G47120,134.0,65.0
AT5G41700,217.0,75.0
AT1G03910,15.0,20.0
AT4G31570,217.0,80.0
AT1G03960,52.0,40.0
AT4G36020,40.0,35.0
AT1G13320,228.0,90.0
AT5G02040,40.0,35.0
AT1G25490,252.0,90.0
AT5G06740,40.0,35.0
AT3G25800,240.0,90.0
AT5G14690,40.0,35.0
AT1G04050,3.0,5.0
AT5G15700,40.0,35.0
AT5G43990,54.0,40.0
AT5G16400,217.0,80.0
AT1G04170,162.0,65.0
AT5G17640,40.0,35.0
AT1G08560,192.0,70.0
AT5G22580,40.0,35.0
AT1G80410,217.0,90.0
AT5G35740,40.0,35.0
AT2G23070,217.0,85.0
AT5G48140,40.0,35.0
AT2G23080,217.0,85.0
AT5G64110,40.0,35.0
AT2G40290,183.0,70.0
AT5G65160,40.0,35.0
AT3G18140,286.0,95.0
AT4G25080,61.0,45.0
AT3G50000,217.0,85.0
AT4G25140,217.0,75.0
AT3G52400,244.0,90.0
AT4G25910,84.0,50.0
AT4G18040,32.0,30.0
AT4G27920,9.0,15.0
AT4G32720,37.0,35.0
AT4G30120,6.0,10.0
AT5G08080,255.0,90.0
AT4G26450,15.0,20.0
AT5G20920,197.0,70.0
AT4G26570,1.0,0.0
AT5G67380,217.0,85.0
AT4G34840,1.0,0.0
AT1G04240,4.0,10.0
AT4G26590,40.0,35.0
AT4G05320,47.0,35.0
AT4G39100,84.0,50.0
AT1G04250,84.0,50.0
AT5G10930,29.0,30.0
AT3G62980,33.0,30.0
AT5G38560,29.0,30.0
AT1G58983,318.0,95.0
AT5G41180,29.0,30.0
AT2G04390,277.0,95.0
AT5G47690,217.0,80.0
AT2G05220,267.0,95.0
AT5G49660,29.0,30.0
AT2G20450,298.0,95.0
AT5G66240,29.0,30.0
AT2G41840,323.0,95.0
AT4G26720,17.0,20.0
AT4G27090,304.0,95.0
AT5G05270,84.0,50.0
AT5G14320,269.0,95.0
AT5G08450,54.0,40.0
AT1G04310,5.0,10.0
AT5G08790,54.0,40.0
AT1G66340,92.0,55.0
AT5G13590,54.0,40.0
AT1G04360,217.0,85.0
AT5G13930,84.0,50.0
AT1G08720,63.0,45.0
AT5G23940,84.0,50.0
AT1G04400,81.0,50.0
AT5G39660,54.0,40.0
AT1G26260,7.0,15.0
AT5G43700,84.0,50.0
AT1G53090,53.0,40.0
AT5G47890,84.0,50.0
AT2G18790,253.0,90.0
AT5G51040,84.0,50.0
AT2G46340,130.0,65.0
AT5G60160,54.0,40.0
AT3G13670,27.0,25.0
AT5G60930,54.0,40.0
AT3G15354,60.0,45.0
AT4G27060,84.0,50.0
AT4G11110,60.0,45.0
AT4G27070,217.0,75.0
AT4G34530,7.0,15.0
AT4G27960,217.0,75.0
AT5G27910,17.0,25.0
AT5G23310,2.0,0.0
AT5G50470,21.0,25.0
AT4G28610,1.0,0.0
AT5G50490,21.0,25.0
AT5G20150,1.0,0.0
AT1G04410,217.0,85.0
AT4G28650,217.0,75.0
AT4G09320,217.0,85.0
AT4G28780,14.0,20.0
AT5G22220,39.0,35.0
AT5G15880,77.0,50.0
AT1G04430,217.0,80.0
AT5G37850,77.0,50.0
AT1G04480,284.0,95.0
AT4G29160,61.0,45.0
AT2G43460,199.0,70.0
AT4G29350,217.0,75.0
AT1G04550,4.0,10.0
AT4G29510,3.0,5.0
AT1G04650,59.0,40.0
AT4G29680,217.0,75.0
AT3G27120,2.0,5.0
AT4G29810,217.0,75.0
AT1G04690,217.0,80.0
AT4G30200,22.0,25.0
AT5G53000,247.0,90.0
AT4G30960,8.0,15.0
AT1G04750,128.0,65.0
AT4G31985,217.0,75.0
AT2G35190,128.0,65.0
AT4G32010,5.0,10.0
AT3G11820,264.0,95.0
AT4G32040,31.0,30.0
AT5G43980,237.0,90.0
AT5G01840,5.0,10.0
