node,homodimer,homotrimer,homotetramer,heterodimer,heterotrimer,heterotetramer,heteropentamer,heterohexamer,heteroheptamer,heterooctamer,heterononamer,heterodecamer,in_complex,complex_partners,complex_count_unknown,complex_count
AT1G07480,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G07500,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G07510,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G07530,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G07570,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G07590,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G07650,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G07660,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G07670,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G07750,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G07770,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G07810,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G07820,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G07830,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G07890,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G07920,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G07930,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G07940,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G07980,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G07990,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G08005,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G08050,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G08070,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G08130,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G08140,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G08160,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G08180,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G08200,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G08290,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G08360,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G08370,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G08380,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G08400,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G08410,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G08420,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G08450,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G08460,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G08480,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G08490,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G08520,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G08560,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G08600,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G08680,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G08720,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G08780,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G08800,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G08820,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G08830,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G08970,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G09000,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G09020,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G09030,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G09060,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G09070,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G09080,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G09100,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G09130,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G09140,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G09150,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G09180,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G09200,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G09210,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G09270,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G09330,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G09340,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G09400,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G09430,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G09530,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G09570,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G09590,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G09620,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G09630,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G09640,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G09690,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G09700,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
