complex_string,stoichiometry,unknown_stoichiometry
YDL188C;YMR028W;YPL152W,1;0;0,1
YKR068C;YBR254C;YDR108W;YDR472W;YML077W;YDR246W;YOR115C,2;1;1;1;1;1;1,0
YDR310C;YOL068C;YOR279C,0;1;0,1
YHR153C;YIL073C;YGL249W;YLR394W,0;0;0;0,1
YLR263W;YIL072W;YDR285W;YDR446W;YLR445W,0;0;0;0;0,1
YDR446W;YLR445W,0;0,1
YFL008W;YIL026C;YJL074C;YPR007C,0;0;0;0,1
YHR196W;YJL109C;YGR128C;YPL126W;YDR398W;YMR093W;YDR324C,0;0;0;0;0;0;0,1
YCR057C;YJL069C;YDR449C;YLR222C;YLR409C;YLR129W,0;0;0;0;0;0,1
YNR051C;YER151C,2;2,0
YJR044C;YOL129W,0;0,1
YPL003W;YPR066W,0;0,1
YJR094C;YDR207C,0;0,1
YKL074C;YLR116W,1;1,0
YBR237W;YBR119W;YKL012W;YKL074C;YML046W;YER029C;YFL017W-A;YLR147C;YGR013W;YPR182W;YHR086W;YIL061C;YGR074W;YDR235W;YDR240C;YLR298C;YLR275W;YDL087C;YLR116W;YOR159C,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1
YBR109C;YDR356W;YPL124W;YKL042W,0;0;0;0,1
YKL042W;YNL225C,0;0,1
YKL014C;YJR041C;YNR038W;YLR221C;YOL144W,0;0;0;0;0,1
YKL033W;YJR136C;YGR099W,0;0;0,1
YJR045C;YLR203C;YML129C;YJL062W-A,0;0;0;0,1
YFL037W;YML085C,1;1,0
YFL037W;YML124C,1;1,0
YHR023W;YGL106W;YPR188C,2;2;2,0
YBR109C;YMR109W,0;0,1
YBR109C;YKL129C,0;0,1
YBR109C;YAL029C;YGL106W,8;2;4,0
YNL262W;YEL032W;YPR175W;YBR278W;YBL023C;YLR274W;YPR019W;YBR202W;YJL072C;YGL201C;YDR489W;YDR121W;YLR103C;YOL146W;YDR013W,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1
YNL178W;YDR064W;YLR167W;YGL123W;YJR123W;YMR116C;YHL015W;YOR369C;YOL040C,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,0
YGL103W;YJL189W;YLR340W;YFR032C-A;YGL030W;YOR063W;YPL131W;YBL092W;YLR075W;YLR325C,1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,0
YPL183W-A;YNL005C;YKL138C;YMR225C;YMR286W;YJL063C;YKR085C;YGR076C;YCR003W;YCR046C;YCR071C;YGR220C;YDR405W;YKL167C;YEL050C;YHR147C;YKL170W;YMR024W;YLR439W;YDR237W;YNL284C;YDL202W;YLR312W-A;YMR193W;YBR282W;YDR462W;YNL252C;YBR122C;YBR268W;YML009C;YPL173W;YBL038W;YJL096W;YML025C;YGL068W;YNR022C;YNL185C;YNL177C;YNL122C;YKR006C;YDR115W;YDR116C;YPR100W;YDR296W;YDR322W;YOR150W,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,0
YDL045W-A;Q0140;YDR347W;YPR166C;YGR084C;YOR158W;YDR337W;YNL137C;YKL003C;YDR036C;YLR204W;YHL004W;YBR251W;YBR146W;YBL090W;YHR059W;YER050C;YIL093C;YNL306W;YJR101W;YJR113C;YGR165W;YGR215W;YNR036C;YNR037C;YNL081C;YGL129C;YPL013C;YPL118W;YDR041W;YMR188C;YDR494W;YMR158W;YDR175C,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,0
YOL010W;YPL217C,1;1,0
YBL002W;YBR009C;YBL003C;YBR010W,2;2;2;2,0
YDR224C;YBR009C;YBL003C;YBR010W,2;2;2;2,0
YDR224C;YBR009C;YDR225W;YBR010W,2;2;2;2,0
YDR224C;YBR009C;YBR010W;YOL012C,2;2;2;2,0
YBL002W;YBR009C;YBR010W;YOL012C,2;2;2;2,0
YGR167W;YGL206C,3;3,0
YCL005W;YLR404W,0;0,1
YKR063C;YGL246C;YOR048C;YLL035W,2;0;0;2,1
YAL041W;YBR200W;YNL298W,1;1;0,1
YGL106W;YMR032W;YPL242C,0;0;0,1
YER071C;YIR003W,0;0,1
YBR136W;YDR499W,2;2,0
YDR054C;YDR328C;YDR131C;YOL133W;YDL132W,1;1;1;1;1,0
YJL041W;YOR098C;YLR335W;YML031W;YFR002W;YKL057C;YKR082W;YBL079W;YMR129W;YAR002W;YER105C;YER107C;YJL061W;YIL149C;YIL115C;YJR042W;YJL039C;YGR119C;YDR192C;YML103C;YDL116W;YGL100W;YGL172W;YKR095W;YKL068W;YMR047C;YDR424C;YMR153W;YLR208W;YDL088C;YDL207W;YLR018C,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1
YEL036C;YPL050C;YJL183W;YJR075W;YDR245W,0;0;0;0;0,1
YHL002W;YNR006W,0;0,1
YJR102C;YLR417W;YPL002C,2;1;1,0
YKL041W;YKL002W;YLR025W;YMR077C,0;0;0;0,1
YMR231W;YLR396C;YLR148W;YDR080W;YPL045W;YDL077C,0;0;0;0;0;0,1
YMR231W;YLR396C;YDR495C;YLR148W;YAL002W;YPL045W,0;0;0;0;0;0,1
YJR033C;YDR328C;YDR202C,0;0;0,1
YNL118C;YOL149W,0;0,1
YEL020W-A;YBR091C;YJL054W;YHR005C-A;YOR297C;YDL217C,3;0;0;3;0;0,1
YLR163C;YHR024C,1;1,0
YNL062C;YJL125C,2;2,0
YDR165W;YDL201W,1;1,0
YOR194C;YKL058W,1;1,0
YDL090C;YKL019W,1;1,0
YGL155W;YKL019W,1;1,0
YPR176C;YOR370C;YJL031C,1;0;1,1
YIL034C;YKL007W,1;1,0
YEL002C;YGL022W;YJL002C;YOR103C;YMR149W;YML019W;YGL226C-A;YDL232W,1;1;1;1;1;1;1;1,0
YEL002C;YGL022W;YJL002C;YOR103C;YOR085W;YMR149W;YGL226C-A;YDL232W,1;1;1;1;1;1;1;1,0
YER162C;YEL037C,1;1,0
YJL072C;YDR489W;YOL146W;YDR013W,1;1;1;1,0
YML098W;YER148W;YCR042C;YPL129W;YBR198C;YGR274C;YMR005W;YGL112C;YML114C;YDR145W;YML015C;YMR227C;YMR236W;YDR167W;YPL011C,1;1;1;3;2;1;2;2;1;2;1;1;2;2;1,0
YBR070C;YGL047W,1;1,0
YGL183C;YGL033W,1;1,0
YOR212W;YJR086W,1;1,0
YHR005C;YOR212W;YJR086W,1;1;1,0
YNL138W-A;YMR288W;YMR240C;YML049C;YPR094W;YOR319W,0;0;0;0;0;0,1
YDL030W;YJL203W;YDL043C,1;1;1,0
YIR005W;YGL174W;YLR016C,0;0;0,1
YDL030W;YJR050W;YER013W;YCR063W;YAL032C;YKL095W;YLL036C;YJL203W;YER172C;YHR165C;YKL173W;YBR065C;YBR188C;YER029C;YIR005W;YIR009W;YDR364C;YLR147C;YGL174W;YMR288W;YGL128C;YGR129W;YGR278W;YLR323C;YNL245C;YPR182W;YGR074W;YOR148C;YMR240C;YPL064C;YDR088C;YDR482C;YMR213W;YDR163W;YDR416W;YML049C;YPR101W;YLR275W;YDL043C;YPL213W;YDL209C;YLR117C;YPL151C,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1
