,node,cagiada-dG
449,YML063W,10.338559928743546
450,YMR143W;YDL083C,
451,YNL112W,31.4514789808336
452,YNL096C,9.216808926200471
453,YNL207W,17.738009154505736
454,YNL178W,11.044507156529491
455,YOL040C,7.613334083766817
456,YNL302C,6.845677262766121
457,YOR096W,10.047469233214263
458,YOL121C,7.018600089415023
459,YOR198C,16.599869501629723
460,YOR119C,18.08052931283918
461,YPL090C;YBR181C,
462,YOR369C,7.132516985971523
463,YOR133W,34.51053104526817
464,YKR038C,24.378064984547855
465,YDL075W,5.942259566276224
466,YJL191W,7.496234854827019
467,YIL161W,6.518493944982653
468,YLR260W,23.373598893093742
469,YNL073W,29.06297430888367
470,YNL023C,29.983560903917265
471,YOR253W,8.797493712834134
472,YER131W,4.050472517245961
473,YKL032C,15.600403404856129
474,YLR264W,3.651612084220056
475,YNL050C,4.414055401894962
476,YOL080C,13.104019950435019
477,YPL032C,22.21877796323669
478,YDL061C,2.474911610263785
479,YPL081W,9.725437392255524
480,YKL143W,11.14532979363553
481,YNR046W,7.99000664434851
482,YNL224C,11.5771733619491
483,YGR081C,4.324450524780707
484,YLR398C,25.46620793902867
485,YNL314W,6.639098526568798
486,YPL204W,24.65764222538746
487,YPL012W,30.845382339546603
488,YGL189C,4.040002250492608
489,YPL266W,18.82637227612429
490,YNR051C,13.06712910062764
491,YLR327C,2.7476306753779562
492,YNL054W-B,20.369259325454934
493,YLR325C,4.266784486601298
494,YOR359W,8.568934903074807
495,YAL035W,16.659672523158303
496,YAL036C,22.231980711995703
497,YBR263W,27.81242905348221
498,YDL053C,3.2479435919592516
499,YDL051W,12.111295302881034
500,YDL213C,7.086498036674127
501,YDR381W,7.413171506454421
502,YDR412W,4.872371510466834
503,YER176W,18.7332461602704
504,YGL205W,30.56865564522807
505,YHL038C,25.682575466290604
506,YIL148W;YKR094C,
507,YIL127C,4.852634879853586
508,YKL122C,5.102107363411978
509,YLR061W,6.021994165753232
510,YLR278C,21.15929304790693
511,YOR091W,11.452628785839991
512,YOR293W;YMR230W,
513,YPL127C,10.47681002214645
514,YPL123C,23.90081778192438
515,YPL210C,27.611344999106247
516,YIL061C,9.534045474171755
517,YDR266C,17.622696057928138
