gene,Lyu_lysate_cell_MS2_Tm,Lyu_lysate_cell_MS2_R2,Lyu_lysate_cell_MS2_RSE,Lyu_intact_cell_MS2_Tm,Lyu_intact_cell_MS2_R2,Lyu_intact_cell_MS2_RSE,Lyu_intact_cell_MS3_Tm,Lyu_intact_cell_MS3_R2,Lyu_intact_cell_MS3_RSE
AT1G12410,45.0650922,0.999347034,0.010456094,55.43320677,0.992162863,0.042210061,55.41845743,0.990233277,0.048833243
AT1G12520,52.51858712,0.998326687,0.018950883,54.45332603,0.997086879,0.026202773,54.01777235,0.99761673,0.023220044
AT1G12780,42.17789621,0.996717326,0.02775548,48.81177138,0.99778747,0.022866841,48.53548715,0.99896203,0.016283721
AT1G12840,55.70557099,0.993770183,0.0349387,57.15962724,0.995821876,0.029412005,57.47716023,0.994443488,0.033990538
AT1G13020,,,,61.13688162,0.945290172,0.079907806,61.86953651,0.856696484,0.162054189
AT1G13270,43.51091349,0.992579624,0.038911071,51.05929572,0.99075298,0.048181214,50.91986636,0.99580003,0.032477068
AT1G13320,41.84778783,0.998384344,0.016926531,48.12239827,0.978108798,0.075406922,46.2469635,0.996959905,0.027411713
AT1G13370,47.85206127,0.986294129,0.046766212,,,,,,
AT1G13440,34.24596782,0.994132368,0.026710553,54.85433245,0.996477517,0.027202779,54.17298774,0.983055887,0.057055457
AT1G13730,46.18783029,0.990913115,0.038523943,,,,,,
AT1G13900,54.59190676,0.997233529,0.020439466,56.29571485,0.992133524,0.036805788,56.38428804,0.981342208,0.060489588
AT1G13930,68.68003421,0.960037058,0.04450934,65.30676126,0.964415581,0.053262023,64.97035156,0.953525895,0.104184897
AT1G14000,48.23615287,0.998056288,0.021154896,52.37660559,0.998160595,0.02114983,52.13720351,0.990347643,0.051378667
AT1G14030,38.32960608,0.998456401,0.01728369,47.63934467,0.994556036,0.036991046,47.62799136,0.992942821,0.043624488
AT1G14320,34.85666887,0.986526218,0.039039315,51.99153394,0.998569315,0.016877704,50.84902953,0.996537022,0.027316609
AT1G14410,62.77124414,0.977832546,0.057065016,62.07917571,0.988538695,0.039108269,62.84806506,0.949186428,0.095263012
AT1G14670,38.19782893,0.997315467,0.020207951,46.90644811,0.996903498,0.026219721,45.31929052,0.997260283,0.026065491
AT1G14830,,,,52.13245331,0.879627184,0.159273266,,,
AT1G14900,65.65347638,0.947734923,0.058668032,,,,,,
AT1G15130,43.82994849,0.998951727,0.014918269,45.57312958,0.99357242,0.039072669,45.24953042,0.994767283,0.037918838
AT1G15340,62.86521189,0.927304377,0.090880476,53.14947567,0.956095214,0.08147666,57.76198629,0.908404896,0.134697358
AT1G15500,37.22785293,0.993836594,0.029659961,55.95352586,0.993446732,0.03637057,57.71180233,0.990173464,0.046745878
AT1G15690,44.86257053,0.99664259,0.02663463,63.82039857,0.973669224,0.055263131,64.74705294,0.939009071,0.107956252
AT1G15710,36.81899665,0.996600734,0.022604782,52.20731429,0.989515902,0.050979922,,,
AT1G15750,45.92956193,0.996698155,0.028303304,45.63593729,0.99318076,0.038783038,46.25796335,0.999371707,0.012418373
AT1G15930,55.89300944,0.994148288,0.028401172,54.98324888,0.997214206,0.024376093,55.56880652,0.996642221,0.0272914
AT1G16030,49.83158281,0.99810458,0.020426294,54.16782109,0.99245393,0.042997275,54.03191992,0.997436347,0.025087497
AT1G16240,53.79500067,0.98982832,0.034562243,54.27406343,0.996916684,0.02390104,52.76981448,0.994823678,0.033118355
AT1G16340,52.07259912,0.973183473,0.066555183,56.45747971,0.986861162,0.053774446,58.57253664,0.981330493,0.062104238
AT1G16470,,,,51.6115558,0.984493182,0.061133065,50.80397307,0.986887452,0.05710606
AT1G16560,,,,54.14547072,0.983003746,0.063708799,,,
AT1G16890,51.32252244,0.997204321,0.024753634,47.4464873,0.990789794,0.049196473,47.00463499,0.995350667,0.033558085
AT1G16900,,,,53.73717679,0.985224947,0.053483738,,,
AT1G16920,41.52085119,0.99904025,0.012871761,48.56598579,0.995485769,0.03087467,49.15700938,0.996439337,0.030257753
AT1G17050,44.23747198,0.998360179,0.017231952,54.48677942,0.997761938,0.022103934,54.30588263,0.993463023,0.040546814
AT1G17100,50.44891328,0.996377653,0.029024154,57.08462786,0.993389749,0.034660631,57.54908371,0.992598423,0.03953097
AT1G17120,,,,58.56800569,0.992907242,0.034696467,,,
AT1G17180,50.18264741,0.970160576,0.086247004,54.13147095,0.997262664,0.023322646,,,
AT1G17190,51.58117944,0.991867116,0.038820393,59.77564888,0.965285401,0.078733633,,,
AT1G17420,35.37970095,0.998958337,0.012169911,47.12848051,0.998870799,0.016181045,46.37512694,0.99360962,0.040569996
AT1G17650,40.42067801,0.997117604,0.023228925,58.29804963,0.986273651,0.052018852,59.35885143,0.969158707,0.078511599
AT1G17730,60.44298899,0.990044842,0.029763665,,,,,,
AT1G17745,41.36289041,0.997095392,0.020777435,52.53245089,0.998253135,0.02008917,,,
AT1G17860,60.4689486,0.990031326,0.033216789,60.2748778,0.958634165,0.080929417,,,
AT1G18080,51.49992605,0.997517187,0.023340044,55.58618778,0.994654865,0.037076318,55.33407384,0.996097402,0.031452372
AT1G18210,,,,61.46502424,0.968015971,0.059760767,61.39279754,0.892092892,0.144311868
AT1G18260,41.67335795,0.997255594,0.021833309,49.27017579,0.990168988,0.046653811,,,
AT1G18440,48.71889797,0.998635355,0.017382561,52.49967082,0.997219242,0.02611584,53.11193201,0.975127451,0.092072612
