gene,Lyu_lysate_cell_MS2_Tm,Lyu_lysate_cell_MS2_R2,Lyu_lysate_cell_MS2_RSE,Lyu_intact_cell_MS2_Tm,Lyu_intact_cell_MS2_R2,Lyu_intact_cell_MS2_RSE,Lyu_intact_cell_MS3_Tm,Lyu_intact_cell_MS3_R2,Lyu_intact_cell_MS3_RSE
AT1G14030,38.32960608,0.998456401,0.01728369,47.63934467,0.994556036,0.036991046,47.62799136,0.992942821,0.043624488
AT1G14150,40.96132138,0.997276098,0.021506008,57.89101523,0.991463958,0.039752434,58.12550395,0.99178963,0.040144148
AT1G14320,34.85666887,0.986526218,0.039039315,51.99153394,0.998569315,0.016877704,50.84902953,0.996537022,0.027316609
AT1G14410,62.77124414,0.977832546,0.057065016,62.07917571,0.988538695,0.039108269,62.84806506,0.949186428,0.095263012
AT1G14610,37.826194,0.998205172,0.01588478,52.65268574,0.99869912,0.017433593,52.63323168,0.999568578,0.010230726
AT1G14650,50.80974354,0.953413543,0.080696153,54.06526332,0.960295962,0.086266048,,,
AT1G14830,,,,52.13245331,0.879627184,0.159273266,,,
AT1G14850,34.73302655,0.995031079,0.024973578,51.41449407,0.997304874,0.024340558,,,
AT1G14900,65.65347638,0.947734923,0.058668032,,,,,,
AT1G14980,68.25937204,0.947648804,0.054987837,64.05711237,0.969671083,0.053363415,64.26880165,0.9192913,0.127314411
AT1G15130,43.82994849,0.998951727,0.014918269,45.57312958,0.99357242,0.039072669,45.24953042,0.994767283,0.037918838
AT1G15140,34.89224778,0.99435188,0.026712175,43.82493858,0.998719472,0.017235311,43.79042357,0.998273622,0.019844338
AT1G15690,44.86257053,0.99664259,0.02663463,63.82039857,0.973669224,0.055263131,64.74705294,0.939009071,0.107956252
AT1G15750,45.92956193,0.996698155,0.028303304,45.63593729,0.99318076,0.038783038,46.25796335,0.999371707,0.012418373
AT1G15930,55.89300944,0.994148288,0.028401172,54.98324888,0.997214206,0.024376093,55.56880652,0.996642221,0.0272914
AT1G15980,33.79952671,0.997737476,0.017261669,49.8327491,0.998865045,0.016650364,49.70422377,0.999248619,0.013832045
AT1G16030,49.83158281,0.99810458,0.020426294,54.16782109,0.99245393,0.042997275,54.03191992,0.997436347,0.025087497
AT1G16080,53.16522273,0.996667244,0.024796856,51.14487706,0.998622916,0.018548433,50.92053528,0.998834588,0.017803817
AT1G16240,53.79500067,0.98982832,0.034562243,54.27406343,0.996916684,0.02390104,52.76981448,0.994823678,0.033118355
AT1G16350,52.3348589,0.992412984,0.034829323,45.44264855,0.994095909,0.039022969,45.3836626,0.994404232,0.038903553
AT1G16470,,,,51.6115558,0.984493182,0.061133065,50.80397307,0.986887452,0.05710606
AT1G16700,47.05523523,0.996910653,0.023226567,51.26595884,0.990462594,0.045027576,51.27396733,0.992893756,0.041023067
AT1G16880,47.73870661,0.998179895,0.01748425,51.91881285,0.998018898,0.020672648,51.3556318,0.998367932,0.01904196
AT1G17050,44.23747198,0.998360179,0.017231952,54.48677942,0.997761938,0.022103934,54.30588263,0.993463023,0.040546814
AT1G17160,54.62946348,0.997711098,0.023032042,56.20897291,0.991283995,0.044240934,57.09826658,0.977944952,0.076631528
AT1G17170,51.37254167,0.99585892,0.030512773,56.13666052,0.994619175,0.032337927,57.78389369,0.974462555,0.071914949
AT1G17180,50.18264741,0.970160576,0.086247004,54.13147095,0.997262664,0.023322646,,,
AT1G17220,57.60046548,0.99438873,0.027493377,48.38051166,0.966622847,0.071737854,50.87686575,0.881821253,0.145351632
AT1G17290,53.26657767,0.996375778,0.02821279,55.26662027,0.992776085,0.041004093,55.45027921,0.995520051,0.032445629
AT1G17370,36.96073273,0.998092391,0.017812145,39.98855935,0.999700874,0.008152251,40.80164522,0.997083367,0.025892037
AT1G17420,35.37970095,0.998958337,0.012169911,47.12848051,0.998870799,0.016181045,46.37512694,0.99360962,0.040569996
AT1G17650,40.42067801,0.997117604,0.023228925,58.29804963,0.986273651,0.052018852,59.35885143,0.969158707,0.078511599
AT1G17730,60.44298899,0.990044842,0.029763665,,,,,,
AT1G17745,41.36289041,0.997095392,0.020777435,52.53245089,0.998253135,0.02008917,,,
AT1G17860,60.4689486,0.990031326,0.033216789,60.2748778,0.958634165,0.080929417,,,
AT1G18080,51.49992605,0.997517187,0.023340044,55.58618778,0.994654865,0.037076318,55.33407384,0.996097402,0.031452372
AT1G18260,41.67335795,0.997255594,0.021833309,49.27017579,0.990168988,0.046653811,,,
AT1G18450,35.87379923,0.988924229,0.03681081,48.2065612,0.988478737,0.045803683,,,
AT1G18500,40.38664712,0.999605335,0.008161388,50.50187573,0.996885938,0.027563034,50.12637848,0.995470969,0.033705194
AT1G18540,46.88284956,0.997011155,0.021207293,57.53985933,0.916462721,0.145097215,58.1217851,0.891612295,0.1775121
AT1G19150,33.91647211,0.994397796,0.026737452,55.29042069,0.992163289,0.041341409,55.27149994,0.991717028,0.041829187
AT1G19570,44.97448948,0.998409217,0.018917654,53.53052089,0.997154382,0.025800844,53.43569445,0.999156611,0.014581246
AT1G19580,53.62306091,0.987239291,0.045001852,56.31620541,0.991808116,0.037113998,,,
AT1G19800,,,,55.32217334,0.974033329,0.069633846,,,
AT1G19920,51.26206395,0.99640919,0.029094738,54.22266262,0.999534676,0.010482941,54.10201257,0.998683915,0.018091632
AT1G20010,,,,52.37458164,0.988310145,0.044863003,,,
AT1G20020,57.33263551,0.979861815,0.062281616,57.42310774,0.995383625,0.032051062,57.78408576,0.994662991,0.034256862
AT1G20050,43.81304602,0.968246159,0.060512635,,,,,,
AT1G20110,58.684242,0.988805823,0.036729413,51.7756556,0.990918786,0.043012598,53.13695886,0.985084489,0.057937569
AT1G20200,36.75802959,0.992073265,0.031836018,47.95522952,0.983393061,0.064026377,47.18332778,0.988265466,0.053978554
AT1G20330,39.37791489,0.995689039,0.026329393,44.80116281,0.989881286,0.04681278,44.73804039,0.981714744,0.063884519
AT1G20340,,,,60.25366077,0.989150835,0.039573188,59.81991358,0.953675661,0.09700121
AT1G20440,60.77844763,0.947279222,0.07052608,54.35378526,0.980595186,0.050777523,,,
AT1G20450,67.57459625,0.94898463,0.054676273,61.55986573,0.975063404,0.05296786,60.68754848,0.909537504,0.128944103
AT1G20630,51.53214632,0.998871456,0.015457324,54.06766229,0.999476117,0.010812048,54.46792046,0.978001703,0.072645065
AT1G20950,41.69133166,0.997977563,0.018750396,53.18034636,0.997062664,0.025671648,52.6798568,0.990823893,0.04808833
AT1G21190,56.25261502,0.978020017,0.060751024,56.6486557,0.974075551,0.064617029,,,
AT1G21720,,,,49.38950668,0.997282224,0.025439632,,,
AT1G21750,60.93799644,0.993940746,0.027539368,47.19953575,0.998662318,0.017849856,46.815554,0.998562576,0.018825646
AT1G21900,39.97226007,0.997846452,0.018052127,51.5338805,0.99679895,0.027172032,52.07353279,0.962576333,0.112397866
AT1G22300,46.10595083,0.997060457,0.025009519,50.68345907,0.997687259,0.023958562,50.38268174,0.996982849,0.028668913
AT1G22410,33.09257795,0.986825617,0.038948438,48.601274,0.997486579,0.023860094,49.42487935,0.995543987,0.031374746
AT1G22530,43.49037662,0.99276243,0.03166399,46.24733699,0.990987288,0.043087992,46.01349431,0.970874068,0.077535718
AT1G22840,,,,65.4145376,0.964002607,0.063386617,65.02036241,0.940015506,0.123894365
AT1G23190,39.19441517,0.996533132,0.023845509,52.24361383,0.993750968,0.036745022,52.61287838,0.997689719,0.023569954
AT1G23310,44.84518397,0.997082306,0.024893344,50.40115785,0.999311894,0.012913973,49.78928511,0.998234822,0.02098361
AT1G23740,48.09641328,0.999740023,0.007835201,54.51244821,0.996508212,0.029263798,54.5356155,0.997000473,0.027294303
AT1G23800,55.31804577,0.983828701,0.055583334,,,,53.5431841,0.974304074,0.078997982
AT1G23900,40.38930462,0.986465027,0.048790357,48.02499795,0.97995643,0.070056755,,,
AT1G24020,44.40682307,0.999528284,0.009372081,42.31416335,0.996594103,0.026260441,42.14498674,0.999246333,0.013109081
AT1G24180,37.70097613,0.991792834,0.033447803,50.41510169,0.995615423,0.031344697,48.25209876,0.989260833,0.049463922
AT1G24310,59.01822569,0.993332567,0.027689743,56.70174166,0.999408783,0.010006292,,,
AT1G24360,41.2745292,0.995827653,0.027233311,57.5635928,0.976681876,0.078847546,57.81214805,0.982243354,0.067964203
AT1G24490,60.90974222,0.98087292,0.039368529,57.31661084,0.988729031,0.04553471,58.14697773,0.995174174,0.031405401
AT1G24510,39.4517326,0.99831842,0.016531013,50.63137791,0.998128729,0.02174113,50.08417555,0.996804055,0.029525664
AT1G25350,46.01405379,0.998706557,0.017677343,51.12488019,0.998964972,0.015991454,50.3370777,0.998724362,0.018602662
AT1G25490,39.30336457,0.999044735,0.012677784,47.2795519,0.997611143,0.023395214,46.80077741,0.99869183,0.01831887
AT1G25540,57.65599323,0.893370707,0.153062031,,,,,,
AT1G26110,63.72882111,0.955194772,0.065290623,52.44114175,0.99277067,0.035766663,49.40435342,0.964271411,0.093126435
AT1G26460,37.06014073,0.998734102,0.013773175,47.2303552,0.992520446,0.044258799,,,
AT1G26630,62.14940603,0.993290779,0.02550609,45.24530943,0.994284897,0.033315386,44.99046821,0.973793661,0.073582878
AT1G26670,51.76810114,0.988224081,0.036587171,53.88048186,0.988180364,0.045646389,,,
AT1G26830,42.05945953,0.984323818,0.056279226,44.9645586,0.989643231,0.045367084,,,
AT1G26850,39.90921677,0.993939855,0.034835669,44.07046551,0.997565087,0.023488313,44.24333217,0.996460671,0.028555194
AT1G27020,45.64212059,0.997129506,0.027173811,49.38486529,0.997901936,0.022156893,48.27488281,0.985601113,0.055478743
AT1G27090,53.45535129,0.996255932,0.022737327,42.64441396,0.992036863,0.040231942,42.79959699,0.989718878,0.048030878
AT1G27310,38.8029904,0.983925517,0.051225123,50.13830119,0.976790072,0.078943985,50.58509788,0.983422929,0.067632451
AT1G27400,62.42568031,0.948739001,0.054157535,,,,,,
AT1G27680,56.15914494,0.995570261,0.029191598,57.94155063,0.990066536,0.044326614,,,
AT1G27752,53.50703325,0.986188049,0.042555427,,,,,,
AT1G27970,37.0845524,0.996410376,0.023234898,47.92920335,0.997530303,0.023925024,47.6293543,0.99486514,0.033938746
AT1G28120,44.86138667,0.99896634,0.013112516,47.99980798,0.985865548,0.051183478,,,
AT1G28200,48.26940388,0.998822851,0.01462248,49.42947441,0.994525869,0.036386529,48.00247848,0.996679577,0.02815336
AT1G28350,49.36587788,0.995427706,0.031449408,54.65494588,0.995598478,0.030156462,,,
AT1G28960,52.46125948,0.986572917,0.056117473,53.48728229,0.995153064,0.032722375,,,
AT1G29150,37.92474741,0.998288644,0.015824213,47.21372141,0.995849169,0.028941537,47.12432808,0.996591965,0.027754677
AT1G29250,56.89092378,0.992326906,0.032077965,53.90413891,0.997081671,0.024561361,53.81811474,0.996184866,0.028666188
AT1G29260,54.82026821,0.986176381,0.045953522,55.48396809,0.996761727,0.024138346,54.29714142,0.964225079,0.079183987
AT1G29880,51.96739147,0.998669829,0.017935945,54.43097559,0.997115678,0.026195998,54.55862194,0.998335874,0.020308052
AT1G29900,42.153559,0.998469012,0.017488335,52.00556047,0.991124018,0.048407605,51.80231487,0.983698327,0.068741428
AT1G29930,34.27895335,0.996402755,0.021702911,62.48296527,0.965691206,0.071761264,63.70220585,0.938176106,0.106826837
AT1G29990,63.75316102,0.98755903,0.029921071,56.25031061,0.970535358,0.068013236,59.71563122,0.966066368,0.083301498
AT1G30120,39.8479382,0.999435606,0.010255273,52.85743093,0.974762556,0.075587759,51.59981639,0.942350999,0.107913913
AT1G30230,,,,52.66999324,0.977562744,0.06621402,,,
AT1G30360,37.32230152,0.995689145,0.024324984,56.15356203,0.992629832,0.038050683,56.15887116,0.991461773,0.041511794
AT1G30380,34.46587406,0.980473958,0.047523236,58.91892542,0.972474996,0.072098796,61.78567213,0.907265576,0.150357714
AT1G30400,,,,49.99504348,0.984736528,0.053588338,,,
AT1G30480,52.75978452,0.93986384,0.098118909,,,,,,
AT1G30530,39.66297744,0.990422921,0.042643176,45.50192554,0.998440264,0.019184095,45.8700082,0.998158858,0.022163906
AT1G30580,41.75484752,0.998420214,0.017345923,42.69697945,0.998604491,0.017702548,42.50649474,0.999280775,0.013015186
AT1G30630,48.80457387,0.977924251,0.056645224,51.52371096,0.991295677,0.038506519,,,
AT1G30690,45.34168372,0.998741115,0.016308807,47.36189536,0.996203802,0.030157267,46.35023712,0.998394157,0.020049766
AT1G30970,60.57062582,0.969718003,0.05607061,,,,,,
AT1G31190,49.38589333,0.997849891,0.024169998,54.99816322,0.991031823,0.045282717,55.05719602,0.986777257,0.056689065
AT1G31220,46.42497907,0.987098631,0.049991034,55.95192159,0.984802913,0.057939847,,,
AT1G31230,32.82580337,0.994425618,0.026252209,51.32489455,0.99822772,0.019858967,50.68826771,0.997722154,0.023057147
AT1G31280,50.54542177,0.986544983,0.045858073,53.876391,0.970272988,0.086463905,,,
AT1G31330,43.31275354,0.991462156,0.033156057,57.56599249,0.994349874,0.034187763,57.77507727,0.992512965,0.039477734
AT1G31440,56.65837133,0.991081448,0.032739681,53.73818017,0.982231008,0.060972413,,,
AT1G31730,50.68692643,0.996432704,0.022911141,,,,,,
AT1G31760,,,,61.83611775,0.904721263,0.097372721,,,
AT1G31780,,,,47.01687691,0.977370758,0.068423394,,,
AT1G31970,54.19391301,0.993742344,0.034348379,,,,,,
AT1G32050,53.69790026,0.995099583,0.024799057,61.19378679,0.981978367,0.051510155,,,
AT1G32060,38.34938821,0.999771784,0.006288324,55.61987591,0.975527678,0.07042265,55.67376728,0.975816114,0.070113825
AT1G32080,42.26539665,0.999127223,0.011856168,56.97869744,0.982416351,0.056243462,57.2990724,0.916056154,0.120879324
AT1G32440,41.25626042,0.999454591,0.009952396,51.90358362,0.992014678,0.04239067,50.38932692,0.992263294,0.045396827
AT1G32470,,,,57.37728926,0.988187152,0.039952266,59.41140577,0.985720067,0.049666081
AT1G32580,55.54936806,0.989450503,0.037128465,44.93777986,0.995084494,0.032238797,43.95464793,0.987624428,0.053779162
AT1G32900,35.27283551,0.996299632,0.022243669,42.60332887,0.97892826,0.066199101,41.35901217,0.992862357,0.037468508
AT1G32990,55.5914931,0.989746721,0.039028493,56.28806686,0.992713482,0.039621274,56.96692474,0.98509073,0.059296704
AT1G33520,58.03091596,0.965253324,0.057735747,,,,,,
AT1G33600,56.10178298,0.972722421,0.076403211,,,,,,
AT1G34430,45.80145249,0.990068193,0.046384895,50.0577387,0.987025665,0.059138453,49.99218552,0.989546852,0.05389814
AT1G35680,43.42020489,0.979605933,0.051858873,,,,,,
AT1G35720,53.71841446,0.991296462,0.045073301,54.00392784,0.998704495,0.016934354,52.91060422,0.999551473,0.010126186
AT1G36160,40.77997122,0.997756447,0.019399335,47.92365536,0.989167764,0.051732144,,,
AT1G37130,52.44778403,0.988821566,0.038302161,54.11409192,0.988452552,0.043762161,,,
AT1G42550,51.78933862,0.984430178,0.04117305,48.97107528,0.921157068,0.105407744,47.60484936,0.903658698,0.130268562
AT1G42970,37.18618925,0.997625629,0.018285826,54.20323549,0.988190391,0.050840959,53.9793456,0.988731113,0.049796755
AT1G43800,,,,52.44574372,0.991749813,0.043222599,,,
AT1G43860,49.9642447,0.995147058,0.027056849,,,,,,
AT1G44446,,,,49.26995032,0.980190671,0.059582717,,,
AT1G44575,41.07447878,0.998350495,0.017564557,59.08478159,0.985414204,0.054505529,60.27851191,0.963534351,0.085567396
AT1G45000,35.56074363,0.991373185,0.031792048,45.79792242,0.996236079,0.02942112,,,
AT1G45170,,,,56.88019776,0.988869348,0.043707789,,,
AT1G45474,32.65266984,0.991119315,0.032780773,56.56700869,0.986437469,0.054695199,56.91579357,0.984295412,0.059456124
AT1G47128,56.04141131,0.998070206,0.016508681,58.29691407,0.99491284,0.028875412,58.34606002,0.987750759,0.047154528
AT1G47200,,,,60.6322178,0.986930887,0.041325416,62.42941111,0.961865632,0.085679879
AT1G47250,60.16507477,0.98506124,0.047778247,50.04031988,0.990928407,0.045676743,,,
