gene,Lyu_lysate_cell_MS2_Tm,Lyu_lysate_cell_MS2_R2,Lyu_lysate_cell_MS2_RSE,Lyu_intact_cell_MS2_Tm,Lyu_intact_cell_MS2_R2,Lyu_intact_cell_MS2_RSE,Lyu_intact_cell_MS3_Tm,Lyu_intact_cell_MS3_R2,Lyu_intact_cell_MS3_RSE
AT1G15750,45.92956193,0.996698155,0.028303304,45.63593729,0.99318076,0.038783038,46.25796335,0.999371707,0.012418373
AT1G15930,55.89300944,0.994148288,0.028401172,54.98324888,0.997214206,0.024376093,55.56880652,0.996642221,0.0272914
AT1G16030,49.83158281,0.99810458,0.020426294,54.16782109,0.99245393,0.042997275,54.03191992,0.997436347,0.025087497
AT1G16240,53.79500067,0.98982832,0.034562243,54.27406343,0.996916684,0.02390104,52.76981448,0.994823678,0.033118355
AT1G16470,,,,51.6115558,0.984493182,0.061133065,50.80397307,0.986887452,0.05710606
AT1G17050,44.23747198,0.998360179,0.017231952,54.48677942,0.997761938,0.022103934,54.30588263,0.993463023,0.040546814
AT1G17180,50.18264741,0.970160576,0.086247004,54.13147095,0.997262664,0.023322646,,,
AT1G17420,35.37970095,0.998958337,0.012169911,47.12848051,0.998870799,0.016181045,46.37512694,0.99360962,0.040569996
AT1G17650,40.42067801,0.997117604,0.023228925,58.29804963,0.986273651,0.052018852,59.35885143,0.969158707,0.078511599
AT1G17730,60.44298899,0.990044842,0.029763665,,,,,,
AT1G17745,41.36289041,0.997095392,0.020777435,52.53245089,0.998253135,0.02008917,,,
AT1G17860,60.4689486,0.990031326,0.033216789,60.2748778,0.958634165,0.080929417,,,
AT1G18080,51.49992605,0.997517187,0.023340044,55.58618778,0.994654865,0.037076318,55.33407384,0.996097402,0.031452372
AT1G18260,41.67335795,0.997255594,0.021833309,49.27017579,0.990168988,0.046653811,,,
AT1G18450,35.87379923,0.988924229,0.03681081,48.2065612,0.988478737,0.045803683,,,
AT1G18500,40.38664712,0.999605335,0.008161388,50.50187573,0.996885938,0.027563034,50.12637848,0.995470969,0.033705194
AT1G19570,44.97448948,0.998409217,0.018917654,53.53052089,0.997154382,0.025800844,53.43569445,0.999156611,0.014581246
AT1G19800,,,,55.32217334,0.974033329,0.069633846,,,
AT1G20010,,,,52.37458164,0.988310145,0.044863003,,,
AT1G20020,57.33263551,0.979861815,0.062281616,57.42310774,0.995383625,0.032051062,57.78408576,0.994662991,0.034256862
AT1G20110,58.684242,0.988805823,0.036729413,51.7756556,0.990918786,0.043012598,53.13695886,0.985084489,0.057937569
AT1G20200,36.75802959,0.992073265,0.031836018,47.95522952,0.983393061,0.064026377,47.18332778,0.988265466,0.053978554
AT1G20330,39.37791489,0.995689039,0.026329393,44.80116281,0.989881286,0.04681278,44.73804039,0.981714744,0.063884519
AT1G20340,,,,60.25366077,0.989150835,0.039573188,59.81991358,0.953675661,0.09700121
AT1G20450,67.57459625,0.94898463,0.054676273,61.55986573,0.975063404,0.05296786,60.68754848,0.909537504,0.128944103
AT1G20630,51.53214632,0.998871456,0.015457324,54.06766229,0.999476117,0.010812048,54.46792046,0.978001703,0.072645065
AT1G20950,41.69133166,0.997977563,0.018750396,53.18034636,0.997062664,0.025671648,52.6798568,0.990823893,0.04808833
AT1G21750,60.93799644,0.993940746,0.027539368,47.19953575,0.998662318,0.017849856,46.815554,0.998562576,0.018825646
AT1G22300,46.10595083,0.997060457,0.025009519,50.68345907,0.997687259,0.023958562,50.38268174,0.996982849,0.028668913
AT1G22840,,,,65.4145376,0.964002607,0.063386617,65.02036241,0.940015506,0.123894365
AT1G23190,39.19441517,0.996533132,0.023845509,52.24361383,0.993750968,0.036745022,52.61287838,0.997689719,0.023569954
AT1G23900,40.38930462,0.986465027,0.048790357,48.02499795,0.97995643,0.070056755,,,
AT1G24020,44.40682307,0.999528284,0.009372081,42.31416335,0.996594103,0.026260441,42.14498674,0.999246333,0.013109081
AT1G24310,59.01822569,0.993332567,0.027689743,56.70174166,0.999408783,0.010006292,,,
AT1G24360,41.2745292,0.995827653,0.027233311,57.5635928,0.976681876,0.078847546,57.81214805,0.982243354,0.067964203
AT1G24510,39.4517326,0.99831842,0.016531013,50.63137791,0.998128729,0.02174113,50.08417555,0.996804055,0.029525664
AT1G25490,39.30336457,0.999044735,0.012677784,47.2795519,0.997611143,0.023395214,46.80077741,0.99869183,0.01831887
AT1G25540,57.65599323,0.893370707,0.153062031,,,,,,
AT1G26110,63.72882111,0.955194772,0.065290623,52.44114175,0.99277067,0.035766663,49.40435342,0.964271411,0.093126435
AT1G26460,37.06014073,0.998734102,0.013773175,47.2303552,0.992520446,0.044258799,,,
AT1G26630,62.14940603,0.993290779,0.02550609,45.24530943,0.994284897,0.033315386,44.99046821,0.973793661,0.073582878
AT1G26670,51.76810114,0.988224081,0.036587171,53.88048186,0.988180364,0.045646389,,,
AT1G26830,42.05945953,0.984323818,0.056279226,44.9645586,0.989643231,0.045367084,,,
AT1G26850,39.90921677,0.993939855,0.034835669,44.07046551,0.997565087,0.023488313,44.24333217,0.996460671,0.028555194
AT1G27020,45.64212059,0.997129506,0.027173811,49.38486529,0.997901936,0.022156893,48.27488281,0.985601113,0.055478743
AT1G27310,38.8029904,0.983925517,0.051225123,50.13830119,0.976790072,0.078943985,50.58509788,0.983422929,0.067632451
AT1G27970,37.0845524,0.996410376,0.023234898,47.92920335,0.997530303,0.023925024,47.6293543,0.99486514,0.033938746
AT1G28120,44.86138667,0.99896634,0.013112516,47.99980798,0.985865548,0.051183478,,,
AT1G28200,48.26940388,0.998822851,0.01462248,49.42947441,0.994525869,0.036386529,48.00247848,0.996679577,0.02815336
AT1G29150,37.92474741,0.998288644,0.015824213,47.21372141,0.995849169,0.028941537,47.12432808,0.996591965,0.027754677
AT1G29260,54.82026821,0.986176381,0.045953522,55.48396809,0.996761727,0.024138346,54.29714142,0.964225079,0.079183987
AT1G29880,51.96739147,0.998669829,0.017935945,54.43097559,0.997115678,0.026195998,54.55862194,0.998335874,0.020308052
AT1G29900,42.153559,0.998469012,0.017488335,52.00556047,0.991124018,0.048407605,51.80231487,0.983698327,0.068741428
AT1G29930,34.27895335,0.996402755,0.021702911,62.48296527,0.965691206,0.071761264,63.70220585,0.938176106,0.106826837
AT1G29990,63.75316102,0.98755903,0.029921071,56.25031061,0.970535358,0.068013236,59.71563122,0.966066368,0.083301498
AT1G30120,39.8479382,0.999435606,0.010255273,52.85743093,0.974762556,0.075587759,51.59981639,0.942350999,0.107913913
AT1G30230,,,,52.66999324,0.977562744,0.06621402,,,
AT1G30360,37.32230152,0.995689145,0.024324984,56.15356203,0.992629832,0.038050683,56.15887116,0.991461773,0.041511794
AT1G30380,34.46587406,0.980473958,0.047523236,58.91892542,0.972474996,0.072098796,61.78567213,0.907265576,0.150357714
AT1G30400,,,,49.99504348,0.984736528,0.053588338,,,
AT1G30480,52.75978452,0.93986384,0.098118909,,,,,,
AT1G30530,39.66297744,0.990422921,0.042643176,45.50192554,0.998440264,0.019184095,45.8700082,0.998158858,0.022163906
AT1G30580,41.75484752,0.998420214,0.017345923,42.69697945,0.998604491,0.017702548,42.50649474,0.999280775,0.013015186
AT1G30690,45.34168372,0.998741115,0.016308807,47.36189536,0.996203802,0.030157267,46.35023712,0.998394157,0.020049766
AT1G30970,60.57062582,0.969718003,0.05607061,,,,,,
AT1G31190,49.38589333,0.997849891,0.024169998,54.99816322,0.991031823,0.045282717,55.05719602,0.986777257,0.056689065
AT1G31230,32.82580337,0.994425618,0.026252209,51.32489455,0.99822772,0.019858967,50.68826771,0.997722154,0.023057147
