experiment,source_file,source_row,source_protein,source_gene_name,mapping_accession,protein_accession,protein_gene_name_match,gene,mapping_status,selection_rank,selected_for_wide_table,Tm,R2,RSE
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2231,Q94A09,Q94A09,Q94A09,Q94A09,True,,unmapped_to_nodes,,False,55.68374162,0.984650809,0.059832132
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2233,Q94A32,Q94A32,Q94A32,Q94A32,True,,unmapped_to_nodes,,False,62.45701757,0.982534087,0.044136699
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2236,Q94A65,Q94A65,Q94A65,Q94A65,True,,unmapped_to_nodes,,False,45.40649918,0.996019077,0.031160488
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2237,Q94A68,Q94A68,Q94A68,Q94A68,True,,unmapped_to_nodes,,False,50.65938409,0.9963229,0.027917164
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2238,Q94A82,Q94A82,Q94A82,Q94A82,True,,unmapped_to_nodes,,False,55.0014866,0.999367901,0.01123544
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2240,Q94AA3,Q94AA3,Q94AA3,Q94AA3,True,,unmapped_to_nodes,,False,47.84834448,0.986854508,0.047759281
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2241,Q94AB8,Q94AB8,Q94AB8,Q94AB8,True,,unmapped_to_nodes,,False,56.92468271,0.995269981,0.024522474
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2243,Q94AF2,Q94AF2,Q94AF2,Q94AF2,True,,unmapped_to_nodes,,False,62.06134511,0.985156952,0.045859506
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2244,Q94AF6,Q94AF6,Q94AF6,Q94AF6,True,,unmapped_to_nodes,,False,55.90926442,0.996309384,0.025935569
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2245,Q94AF7,Q94AF7,Q94AF7,Q94AF7,True,,unmapped_to_nodes,,False,55.59740345,0.996459969,0.024087323
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2246,Q94AG6,Q94AG6,Q94AG6,Q94AG6,True,,unmapped_to_nodes,,False,57.52963483,0.99206802,0.037951026
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2247,Q94AH6,Q94AH6,Q94AH6,Q94AH6,True,,unmapped_to_nodes,,False,44.95909686,0.992297106,0.042153272
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2250,Q94AJ9,Q94AJ9,Q94AJ9,Q94AJ9,True,,unmapped_to_nodes,,False,46.14418102,0.988990132,0.047662606
