node,abundance_file_1,n_uniprot_abundance_values_file_1,matched_uniprot_accessions_file_1,abundance_file_2,n_uniprot_abundance_values_file_2,matched_uniprot_accessions_file_2,abundance_file_3,n_uniprot_abundance_values_file_3,matched_uniprot_accessions_file_3,abundance_file_4,n_uniprot_abundance_values_file_4,matched_uniprot_accessions_file_4,abundance_file_5,n_uniprot_abundance_values_file_5,matched_uniprot_accessions_file_5,abundance_file_6,n_uniprot_abundance_values_file_6,matched_uniprot_accessions_file_6,abundance_file_7,n_uniprot_abundance_values_file_7,matched_uniprot_accessions_file_7,n_abundance_files_with_values,harmonized_abundance
AT5G49760,35.4,1,Q8GZ99,12.2,1.0,Q8GZ99,46.8,1.0,Q8GZ99,41.7,1.0,Q8GZ99,28.6,1.0,Q8GZ99,12.9,1.0,Q8GZ99,19.4,1.0,Q8GZ99,7,28.6
AT5G49830,21.5,1,Q9LTB0,43.5,1.0,Q9LTB0,22.7,1.0,Q9LTB0,23.6,1.0,Q9LTB0,40.1,1.0,Q9LTB0,,,,,,,5,23.6
AT5G49880,2.55,1,Q9LTY1,1.54,1.0,Q9LTY1,0.474,1.0,Q9LTY1,4.69,1.0,Q9LTY1,20.8,1.0,Q9LTY1,,,,,,,5,2.55
AT5G49910,510.0,1,Q9LTX9,231.0,1.0,Q9LTX9,674.0,1.0,Q9LTX9,457.0,1.0,Q9LTX9,306.0,1.0,Q9LTX9,605.0,1.0,Q9LTX9,551.0,1.0,Q9LTX9,7,510.0
AT5G49930,8.77,1,Q9LTX7,15.3,1.0,Q9LTX7,1.25,1.0,Q9LTX7,14.8,1.0,Q9LTX7,28.8,1.0,Q9LTX7,,,,,,,5,14.8
AT5G49970,33.1,1,Q9LTX3,14.1,1.0,Q9LTX3,24.4,1.0,Q9LTX3,55.3,1.0,Q9LTX3,61.6,1.0,Q9LTX3,,,,,,,5,33.1
AT5G50000,15.1,1,Q9FGB1,2.03,1.0,Q9FGB1,13.4,1.0,Q9FGB1,25.5,1.0,Q9FGB1,1.07,1.0,Q9FGB1,,,,,,,5,13.4
AT5G50150,0.588,1,Q9FG96,1.13,1.0,Q9FG96,0.372,1.0,Q9FG96,0.808,1.0,Q9FG96,1.02,1.0,Q9FG96,,,,,,,5,0.808
AT5G50230,2.61,1,Q6NNP0,1.53,1.0,Q6NNP0,,,,5.49,1.0,Q6NNP0,,,,,,,,,,3,2.61
AT5G50320,4.91,1,Q93ZR1,6.59,1.0,Q93ZR1,0.479,1.0,Q93ZR1,8.9,1.0,Q93ZR1,15.4,1.0,Q93ZR1,,,,,,,5,6.59
AT5G50375,1.85,1,Q9M643,4.85,1.0,Q9M643,0.274,1.0,Q9M643,2.77,1.0,Q9M643,2.94,1.0,Q9M643,,,,,,,5,2.77
AT5G50470,0.142,1,Q9FGP8,1.33,1.0,Q9FGP8,,,,,,,,,,,,,,,,2,0.736
AT5G50480,0.053,1,Q9FGP7,0.496,1.0,Q9FGP7,,,,,,,,,,,,,,,,2,0.2745
AT5G50490,0.093,1,Q9FGP6,0.628,1.0,Q9FGP6,,,,,,,3.18,1.0,Q9FGP6,,,,,,,3,0.628
AT5G50580,6.64,1,P0DI12,3.7,1.0,P0DI12,1.36,1.0,P0DI12,13.2,1.0,P0DI12,,,,,,,,,,4,5.17
AT5G50600,23.5,1,P0DKC5,,,,86.8,1.0,P0DKC5,0.856,1.0,P0DKC5,,,,,,,,,,3,23.5
AT5G50680,6.64,1,P0DI13,3.7,1.0,P0DI13,1.36,1.0,P0DI13,13.2,1.0,P0DI13,,,,,,,,,,4,5.17
AT5G50810,19.9,1,Q9XGY4,20.7,1.0,Q9XGY4,23.0,1.0,Q9XGY4,25.2,1.0,Q9XGY4,45.7,1.0,Q9XGY4,,,,,,,5,23.0
AT5G50850,373.0,1,Q38799,361.0,1.0,Q38799,222.0,1.0,Q38799,492.0,1.0,Q38799,581.0,1.0,Q38799,251.0,1.0,Q38799,338.0,1.0,Q38799,7,361.0
AT5G50950,85.2,1,Q9FI53,70.0,1.0,Q9FI53,130.0,1.0,Q9FI53,96.2,1.0,Q9FI53,13.4,1.0,Q9FI53,,,,,,,5,85.2
AT5G51040,17.6,1,Q9FI44,34.1,1.0,Q9FI44,25.4,1.0,Q9FI44,15.8,1.0,Q9FI44,18.6,1.0,Q9FI44,,,,,,,5,18.6
AT5G51110,28.8,1,Q9LU63,12.8,1.0,Q9LU63,50.2,1.0,Q9LU63,30.7,1.0,Q9LU63,46.9,1.0,Q9LU63,,,,,,,5,30.7
AT5G51210,20.3,1,Q43284,4.75,1.0,Q43284,56.9,1.0,Q43284,,,,558.0,1.0,Q43284,,,,,,,4,38.6
AT5G51280,7.51,1,Q9LU46,6.59,1.0,Q9LU46,2.5,1.0,Q9LU46,13.1,1.0,Q9LU46,38.0,1.0,Q9LU46,,,,,,,5,7.51
AT5G51430,20.0,1,Q9FGN0,5.44,1.0,Q9FGN0,9.96,1.0,Q9FGN0,28.0,1.0,Q9FGN0,120.0,1.0,Q9FGN0,19.9,1.0,Q9FGN0,18.4,1.0,Q9FGN0,7,19.9
