source,target
AT1G05200,AT1G05200
AT1G05200,AT2G24720
AT1G05200,AT2G29100
AT1G05200,AT3G01090
AT1G05200,AT3G07520
AT1G05500,AT4G17730
AT1G05510,AT3G47620
AT1G05510,AT4G18010
AT1G05730,AT4G32010
AT1G05805,AT1G35460
AT1G05805,AT2G32700
AT1G05805,AT2G42280
AT1G05805,AT5G12980
AT1G06040,AT1G14920
AT1G06040,AT1G32230
AT1G06040,AT2G01570
AT1G06040,AT2G17410
AT1G06040,AT2G32950
AT1G06040,AT3G17609
AT1G06040,AT3G21150
AT1G06040,AT5G11260
AT1G06070,AT1G43700
AT1G06110,AT1G20140
AT1G06110,AT5G42190
AT1G06400,AT2G23070
AT1G06400,AT4G17720
AT1G06460,AT4G35250
AT1G06460,AT4G37260
AT1G06460,AT5G38420
AT1G06530,AT1G06530
AT1G06530,AT3G58840
AT1G06680,AT1G21250
AT1G06680,AT1G67700
AT1G06680,AT2G16640
AT1G06680,AT3G57870
AT1G06680,AT4G02510
AT1G06680,AT4G11660
AT1G06700,AT3G25250
AT1G06790,AT1G11430
AT1G06790,AT2G33430
AT1G06790,AT4G20020
AT1G06790,AT5G62950
AT1G06840,AT2G26330
AT1G06840,AT2G27060
AT1G06840,AT3G02880
AT1G06840,AT3G08680
AT1G06840,AT3G13380
AT1G06840,AT3G14350
AT1G06840,AT3G17840
AT1G06840,AT4G22130
AT1G06840,AT5G16590
AT1G06950,AT5G16620
AT1G07000,AT3G07680
AT1G07000,AT3G52450
AT1G07130,AT2G05210
AT1G07140,AT5G20010
AT1G07140,AT5G20020
AT1G07140,AT5G55190
AT1G07310,AT3G29160
AT1G07310,AT3G57870
AT1G07360,AT1G58100
AT1G07360,AT1G69690
AT1G07360,AT2G29580
AT1G07360,AT3G15030
AT1G07360,AT3G47620
AT1G07360,AT4G04885
AT1G07360,AT5G08330
AT1G07360,AT5G60120
AT1G07360,AT5G61380
AT1G07370,AT2G29570
AT1G07370,AT3G57870
AT1G07370,AT5G03240
AT1G07370,AT5G22750
AT1G07370,AT5G24330
AT1G07400,AT4G02150
AT1G07400,AT4G35450
AT1G07480,AT4G25030
AT1G07530,AT5G06950
AT1G07530,AT5G37780
AT1G07570,AT1G59580
AT1G07590,AT5G45410
AT1G07650,AT1G34470
AT1G07650,AT1G48480
AT1G07650,AT3G02880
AT1G07650,AT3G08680
AT1G07650,AT3G17840
AT1G07650,AT3G24240
AT1G07650,AT4G20270
AT1G07650,AT4G28650
AT1G07650,AT5G06320
AT1G07650,AT5G16590
AT1G07650,AT5G25752
AT1G07650,AT5G45410
AT1G07650,AT5G65700
AT1G07660,AT4G31120
AT1G07770,AT4G25030
AT1G07890,AT1G18080
AT1G07890,AT1G48410
AT1G07890,AT3G21630
AT1G07890,AT5G42980
AT1G07940,AT3G54170
AT1G07980,AT2G27470
AT1G07980,AT3G57870
AT1G07980,AT4G14540
AT1G07980,AT5G06160
AT1G07980,AT5G15840
AT1G07980,AT5G47640
AT1G08070,AT4G25030
AT1G08070,AT5G17790
AT1G08140,AT3G10640
AT1G08140,AT4G18780
AT1G08140,AT5G06320
AT1G08200,AT1G18080
AT1G08200,AT3G18130
AT1G08290,AT1G15750
AT1G08290,AT4G15560
AT1G08290,AT4G18390
AT1G08370,AT1G26110
AT1G08370,AT3G13300
AT1G08370,AT4G33200
AT1G08370,AT5G20490
AT1G08420,AT3G26940
AT1G08420,AT4G33430
AT1G08460,AT1G08460
AT1G08460,AT2G46040
