AGI,Fan2024_root_100kg_diff_log2k,Fan2024_root_100kg_k_fold_change,Fan2024_root_100kg_ctrl_log2k_mean,Fan2024_root_100kg_temp30_log2k_mean,Fan2024_root_1500g_diff_log2k,Fan2024_root_1500g_k_fold_change,Fan2024_root_1500g_ctrl_log2k_mean,Fan2024_root_1500g_temp30_log2k_mean,Fan2024_root_soluble_diff_log2k,Fan2024_root_soluble_k_fold_change,Fan2024_root_soluble_ctrl_log2k_mean,Fan2024_root_soluble_temp30_log2k_mean,Fan2024_shoot_100kg_diff_log2k,Fan2024_shoot_100kg_k_fold_change,Fan2024_shoot_100kg_ctrl_log2k_mean,Fan2024_shoot_100kg_temp30_log2k_mean,Fan2024_shoot_1500g_diff_log2k,Fan2024_shoot_1500g_k_fold_change,Fan2024_shoot_1500g_ctrl_log2k_mean,Fan2024_shoot_1500g_temp30_log2k_mean,Fan2024_shoot_soluble_diff_log2k,Fan2024_shoot_soluble_k_fold_change,Fan2024_shoot_soluble_ctrl_log2k_mean,Fan2024_shoot_soluble_temp30_log2k_mean
AT2G21170,,,,,,,,,0.688,1.6110485820975005,-6.508,-5.82,,,,,,,,,0.458,1.3736362334296224,-6.248,-5.769
AT2G21330,,,,,,,,,,,,,,,,,,,,,0.415,1.3332986770911985,-5.969,-5.554
AT2G21620,,,,,,,,,0.195,1.1447241605986846,-5.476,-5.281,,,,,,,,,,,,
AT2G21870,0.173,1.1274004121454215,-5.518,-5.362,,,,,,,,,0.223,1.1671581018184676,-6.11,-5.886,,,,,,,,
AT2G24270,,,,,,,,,,,,,,,,,,,,,0.931,1.9065970905763179,-5.865,-4.935
AT2G27030,0.399,1.3185936144923665,-6.116,-5.665,,,,,0.272,1.2074805914864963,-5.314,-5.06,,,,,,,,,,,,
AT2G27710,,,,,,,,,,,,,,,,,0.316,1.2448742353821702,-5.847,-5.531,,,,
AT2G28000,,,,,,,,,,,,,,,,,,,,,0.613,1.5294362778827677,-5.903,-5.279
AT2G28740,,,,,0.103,1.0740044716201242,-5.983,-5.88,,,,,,,,,,,,,,,,
AT2G30110,,,,,,,,,0.273,1.2083178433899424,-5.054,-4.764,,,,,,,,,,,,
AT2G30490,0.769,1.704088190149732,-4.918,-4.22,0.652,1.5713450333351604,-4.983,-4.331,,,,,,,,,,,,,,,,
AT2G30860,,,,,,,,,,,,,,,,,,,,,0.216,1.161508731925722,-5.383,-5.167
AT2G30870,,,,,,,,,0.296,1.2277356839150604,-5.378,-5.124,,,,,,,,,,,,
AT2G30950,,,,,,,,,,,,,0.411,1.329607108181715,-5.312,-4.874,0.291,1.2234880411318663,-5.307,-4.964,0.571,1.4855529206608287,-5.42,-4.849
